year,results
1900,607
1901,615
1902,603
1903,630
1904,672
1905,682
1906,620
1907,693
1908,608
1909,788
1910,815
1911,812
1912,790
1913,884
1914,789
1915,630
1916,670
1917,505
1918,433
1919,527
1920,676
1921,700
1922,824
1923,765
1924,769
1925,860
1926,864
1927,941
1928,870
1929,346
1930,388
1931,353
1932,404
1933,413
1934,480
1935,516
1936,444
1937,468
1938,505
1939,449
