year,results
1950,318
1951,376
1952,355
1953,394
1954,404
1955,438
1956,479
1957,491
1958,492
1959,586
1960,596
1961,562
1962,617
1963,725
1964,769
1965,809
1966,801
1967,866
1968,950
1969,1080
1970,1080
1971,1160
1972,1250
1973,1260
1974,1160
1975,1220
1976,1400
1977,1430
1978,1580
1979,1690
1980,1790
1981,1580
1982,1760
1983,1840
1984,1990
1985,1780
1986,2110
1987,2330
1988,2450
1989,2550
1990,3010
1991,3070
1992,3360
1993,3360
1994,3580
