year,results
1866,104
1867,109
1868,121
1869,133
1870,151
1871,137
1872,153
1873,168
1874,196
1875,213
1876,229
1877,205
1878,194
1879,203
1880,214
1881,217
1882,227
1883,211
1884,206
1885,226
1886,229
1887,237
1888,260
1889,202
1890,290
1891,291
1892,337
