year,results
1866,237
1867,231
1868,274
1869,293
1870,339
1871,262
1872,325
1873,319
1874,346
1875,374
1876,397
1877,380
1878,380
1879,366
1880,386
1881,391
1882,350
1883,427
1884,377
1885,401
1886,440
1887,440
1888,466
1889,445
1890,455
1891,495
1892,556
1893,675
1894,571
1895,656
1896,692
1897,597
1898,558
1899,624
