year,results
1950,658
1951,697
1952,680
1953,741
1954,700
1955,774
1956,778
1957,823
1958,896
1959,944
1960,1040
1961,1050
1962,918
1963,1170
1964,1230
1965,1370
1966,1350
1967,1380
1968,1500
1969,1710
1970,1660
1971,1810
1972,2010
1973,1590
1974,1790
1975,1910
