year,results
1900,358
1901,362
1902,339
1903,370
1904,393
1905,426
1906,416
1907,446
1908,430
1909,470
1910,531
1911,496
1912,535
1913,488
1914,498
1915,446
1916,446
1917,400
1918,356
1919,379
1920,428
1921,429
1922,516
1923,492
1924,523
1925,561
1926,557
1927,614
1928,595
1929,193
1930,193
1931,165
1932,231
1933,241
1934,212
1935,282
1936,232
1937,233
1938,250
1939,256
1940,242
1941,224
1942,185
1943,179
1944,141
1945,172
1946,162
1947,220
1948,276
1949,336
